epsilon,dp_res,wasserstein_distance,mse,std,msd
0.5,True,0.021094645204838045,0.021855381409931197,0.14769343350576572,0.006483140381725782
1,True,0.027626394932447597,0.023697282973385293,0.1535600178437749,0.010798328259727518
1.5,True,0.04881075751775982,0.02330705084325553,0.15256554237829015,-0.0055503263033523705
3,True,0.03438341501591238,0.023101408228999212,0.15198777161139237,0.0010609003734778568
5,True,0.036929068454212954,0.021130315436054568,0.1453596952862511,-0.0009351055249536557
0.5,True,0.03980965220965452,0.022674988900972203,0.1505821661537569,-1.172239539874198e-05
1,True,0.039834756337986665,0.0243873718776065,0.15615766441975643,-0.0014682372332943672
1.5,True,0.029162670849180256,0.023185999786892095,0.15221913128736958,0.003916102272751189
3,True,0.035645399373137945,0.025049496946261483,0.1582689405099291,0.0006628847003859093
5,True,0.02881183659791914,0.02193722105989687,0.14774830173877268,0.010375952640863972
0.5,True,0.04957007503252784,0.02397549832010263,0.15438711154440932,-0.011837149533428544
1,True,0.04184471872616806,0.021514438702654372,0.14664844632995894,0.0029448075766563163
1.5,True,0.044662331533009594,0.024010417091114355,0.15483431098119402,-0.006062444564139042
3,True,0.03438361111576046,0.024508494574326644,0.15636235978472063,-0.007701104912947478
5,True,0.036781458754561125,0.022529446146387386,0.15008174567175903,0.002217151890337689
0.5,True,0.029893466574413476,0.022978998087214556,0.15152765482246175,0.00428578011795301
1,True,0.04018177804379015,0.021152309253548558,0.1452298167827833,-0.00778521488385222
1.5,True,0.0383996232154699,0.022733551240885844,0.15074617278060207,-0.0030236787009724183
3,True,0.03483893193199414,0.021113035310913176,0.14529902065478967,-0.0011090120252656916
5,True,0.033037869094862185,0.022271930678262372,0.14918901081640412,0.0038170315541302883
0.5,True,0.036595653182171395,0.02164026965437284,0.14684042419559765,-0.00884078483109849
1,True,0.04275700798633908,0.022521209486405944,0.14985061731086335,-0.00812416013869236
1.5,True,0.05662184761994122,0.021516670366263795,0.14643372490629789,-0.008592704832034635
3,True,0.03580873626612774,0.020624045275635182,0.14360683931713783,0.0010587620020287433
5,True,0.04545430131430214,0.02169362754234598,0.14728645648882735,0.0005720815595240367
